πικρός	6306
τελευταῖος	6304
δημόσιος	6302
στέφανος	6288
ἐπιθυμέω	6285
ὑπερβολή	6274
γωνία	6274
κάμνω	6272
χρῆσις	6266
Δημοσθένης	6264
γνωρίζω	6262
θαρσέω	6260
συνήθης	6252
ἀκοή	6247
ἐράω	6242
κατοικέω	6233
ἀπορία	6229
αἰώνιος	6224
ἔνειμι	6224
ἱμάτιον	6220
ἐκτός	6219
παράγω	6218
ἐπέρχομαι	6215
λεῖος	6211
παρατίθημι	6208
ἦθος	6206
ῥήτωρ	6205
ἆρα	6193
Ἄρης	6188
συμβεβηκός	6188
μῦς	6175
ὁρμή	6156
πολιτικός	6152
διάβολος	6147
φαντασία	6131
ἀπορέω	6130
ὑπόστασις	6123
στρατιά	6106
κοινωνία	6103
γενναῖος	6103
χυμός	6103
δένδρον	6099
σκληρός	6084
διάστημα	6077
θεωρία	6058
προαίρεσις	6058
συγγενής	6057
βαδίζω	6056
ἀνδρεῖος	6056
ὄρνις	6041
πυρετός	6040
ὕψος	6028
ἔνδον	6013
ἕπομαι	6010
ἕξις	6007
ἑορτή	6002
χ	6001
πρόβατον	6000
παντελῶς	5994
μισθός	5985
ἐνδείκνυμι	5984
μιμέομαι	5978
ἐνιαυτός	5975
ἄγριος	5974
πλήσσω	5964
οὐράνιος	5954
συλλαβή	5951
συντάσσω	5930
φρήν	5925
συνέρχομαι	5923
ἄνθος	5921
νόσημα	5916
σταυρός	5912
πλανάω	5908
Ἑλλάς	5908
ἐλπίζω	5905
σκηνή	5898
μορφή	5888
Ἱερουσαλήμ	5883
ὁπόσος	5878
ἰστέον	5868
Φίλων	5866
θαῦμα	5864
Τρώς	5858
κόρη	5851
αἵρεσις	5846
βρόχος	5842
σύμμαχος	5822
τράπεζα	5816
ποσός	5806
χορός	5792
θρόνος	5788
κτείνω	5778
ἐπειδάν	5767
πληγή	5765
σύνειμι	5765
ῥητός	5759
βάθος	5747
ἥμισυς	5747
προτίθημι	5743
πρόειμι	5738
κηρύσσω	5731
ἐμέω	5726
ἀπάγω	5725
ἀκόλουθος	5720
ἐναργής	5708
φρόνησις	5706
ἀπόφασις	5700
φράζω	5698
τίμιος	5688
τροπή	5686
πρόσθεν	5670
ἐπαίρω	5669
ἐκπίπτω	5661
Ἑρμῆς	5655
χέω	5642
δάκτυλος	5641
φυγή	5636
τύπτω	5635
χαλκός	5623
ἀθρόος	5622
Μωϋσῆς	5611
ψεύδω	5610
διακρίνω	5608
θεραπεία	5606
πλήρης	5601
καταφρονέω	5591
ἀληθινός	5589
φθέγγομαι	5584
φυλακή	5574
πλάσσω	5572
οὔπω	5547
ἰσχύω	5544
προβάλλω	5542
ἀγορά	5519
παχύς	5510
πάντῃ	5506
καταλιμπάνω	5506
δίφθογγος	5505
ὑμέτερος	5504
ἀξίωμα	5504
πυκνός	5495
ἐπέχω	5492
ἀνατίθημι	5489
μηκέτι	5486
ἅπαξ	5473
σωματικός	5469
ἐπιφάνεια	5463
κοινωνέω	5461
λαγχάνω	5460
φιλανθρωπία	5454
θέω	5447
δωρεά	5445
φύλλον	5441
στρατόπεδον	5435
ἱππεύς	5434
πεδίον	5429
διηγέομαι	5425
τάφος	5424
Ἥρα	5422
Εὐριπίδης	5420
ἅτε	5407
ἑταῖρος	5404
ψεῦδος	5396
ὕβρις	5386
Ὅρκος	5385
καταλύω	5382
νή	5369
Διόνυσος	5362
ἐπανέρχομαι	5357
δικαστής	5353
Ἀσία	5353
γονεύς	5341
Μένων	5321
μερικός	5321
καταβαίνω	5315
εἴκοσι	5313
γυμνός	5313
ἐκεῖσε	5301
ἐξετάζω	5296
Ἀφροδίτη	5287
Ξ	5284
συμβάλλω	5283
συλλαμβάνω	5283
γαμέω	5279
ἄστρον	5278
ἄμη	5271
ὄμμα	5269
κοσμέω	5268
ποικίλος	5266
κατέρχομαι	5261
τρέχω	5253
φώς	5251
γραμμή	5240
γῆρας	5237
ἔπαινος	5235
σφαῖρα	5235
διορίζω	5232
πέμπτος	5227
κόλπος	5220
