slug	cts_urn	tlg
aeschylus-tragedy.agamemnon	urn:cts:greekLit:tlg0085.tlg005	tlg0085.tlg005
aeschylus-tragedy.choephoroe	urn:cts:greekLit:tlg0085.tlg006	tlg0085.tlg006
aeschylus-tragedy.eumenides	urn:cts:greekLit:tlg0085.tlg007	tlg0085.tlg007
aeschylus-tragedy.fragmenta	urn:cts:greekLit:tlg0085.tlg008	tlg0085.tlg008
aeschylus-tragedy.persae	urn:cts:greekLit:tlg0085.tlg002	tlg0085.tlg002
aeschylus-tragedy.prometheus-vinctus	urn:cts:greekLit:tlg0085.tlg003	tlg0085.tlg003
aeschylus-tragedy.septem-contra-thebas	urn:cts:greekLit:tlg0085.tlg004	tlg0085.tlg004
aeschylus-tragedy.supplices	urn:cts:greekLit:tlg0085.tlg001	tlg0085.tlg001
aesopus-et-aesopica.fabulae	urn:cts:greekLit:tlg0096.tlg002	tlg0096.tlg002
aethlius-samius.fragmenta	urn:cts:greekLit:tlg0686.tlg003	tlg0686.tlg003
agaclytus.fragmentum	urn:cts:greekLit:tlg0687.tlg002	tlg0687.tlg002
agatharchides-geography.de-mari-erythraeo-excerpta	urn:cts:greekLit:tlg0067.tlg001	tlg0067.tlg001
agatharchides-geography.fragmenta	urn:cts:greekLit:tlg0067.tlg004	tlg0067.tlg004
agatharchides-samius.fragmenta	urn:cts:greekLit:tlg2192.tlg002	tlg2192.tlg002
agathemerus.geographiae-informatio	urn:cts:greekLit:tlg0090.tlg001	tlg0090.tlg001
agathias-scholasticus.epigrammata	urn:cts:greekLit:tlg4024.tlg002	tlg4024.tlg002
agathias-scholasticus.historiae	urn:cts:greekLit:tlg4024.tlg001	tlg4024.tlg001
agathocles.fragmenta	urn:cts:greekLit:tlg0688.tlg001	tlg0688.tlg001
agathodaemon.agaqodai-mwn-ei-s-n-xrhsmo-n-orfe-ws-sunagwgh-kai	urn:cts:greekLit:tlg4086.tlg002	tlg4086.tlg002
agathodaemon.fragmentum-alchemicum-sine-titulo-e-cod-venet-marc-299-fol	urn:cts:greekLit:tlg4086.tlg001	tlg4086.tlg001
agathon-history.fragmenta	urn:cts:greekLit:tlg2566.tlg002	tlg2566.tlg002
agathon-tragedy.fragmenta	urn:cts:greekLit:tlg0318.tlg001	tlg0318.tlg001
agesilaus.fragmenta	urn:cts:greekLit:tlg2555.tlg002	tlg2555.tlg002
aglais.adversus-suffusiones-incipientes	urn:cts:greekLit:tlg0676.tlg001	tlg0676.tlg001
agroetas.fragmenta	urn:cts:greekLit:tlg1835.tlg002	tlg1835.tlg002
albinus.epitome-doctrinae-platonicae-sive-didaskaliko-s	urn:cts:greekLit:tlg0693.tlg001	tlg0693.tlg001
albinus.introductio-in-platonem	urn:cts:greekLit:tlg0693.tlg002	tlg0693.tlg002
alcaeus-comedy.fragmenta	urn:cts:greekLit:tlg0400.tlg001	tlg0400.tlg001
alcaeus-lyric.fragmenta	urn:cts:greekLit:tlg0383.tlg001	tlg0383.tlg001
alcidamas.fragmenta	urn:cts:greekLit:tlg0610.tlg001	tlg0610.tlg001
alcimus.fragmenta	urn:cts:greekLit:tlg0695.tlg003	tlg0695.tlg003
alciphron.epistulae	urn:cts:greekLit:tlg0640.tlg001	tlg0640.tlg001
alcmaeon.fragmenta	urn:cts:greekLit:tlg0766.tlg002	tlg0766.tlg002
alcmaeon.testimonia	urn:cts:greekLit:tlg0766.tlg001	tlg0766.tlg001
alcman.fragmenta	urn:cts:greekLit:tlg0291.tlg001	tlg0291.tlg001
alexander-lyric.fragmenta	urn:cts:greekLit:tlg0216.tlg001	tlg0216.tlg001
alexander-medicine.dedicatio-ad-cosman	urn:cts:greekLit:tlg0744.tlg001	tlg0744.tlg001
alexander-philosophy.apori-ai-kai-lu-seis-sp	urn:cts:greekLit:tlg0732.tlg012	tlg0732.tlg012
alexander-philosophy.de-anima	urn:cts:greekLit:tlg0732.tlg010	tlg0732.tlg010
alexander-philosophy.de-anima-libri-mantissa-de-anima-liber-alter-sp	urn:cts:greekLit:tlg0732.tlg011	tlg0732.tlg011
alexander-philosophy.de-fato	urn:cts:greekLit:tlg0732.tlg014	tlg0732.tlg014
alexander-philosophy.de-febribus-sp	urn:cts:greekLit:tlg0732.tlg003	tlg0732.tlg003
alexander-philosophy.de-mixtione	urn:cts:greekLit:tlg0732.tlg001	tlg0732.tlg001
alexander-philosophy.hqika-problh-mata-sp	urn:cts:greekLit:tlg0732.tlg013	tlg0732.tlg013
alexander-philosophy.in-aristotelis-analyticorum-priorum-librum-i-commentarium	urn:cts:greekLit:tlg0732.tlg005	tlg0732.tlg005
alexander-philosophy.in-aristotelis-metaphysica-commentaria	urn:cts:greekLit:tlg0732.tlg004	tlg0732.tlg004
alexander-philosophy.in-aristotelis-meteorologicorum-libros-commentaria	urn:cts:greekLit:tlg0732.tlg008	tlg0732.tlg008
alexander-philosophy.in-aristotelis-topicorum-libros-octo-commentaria	urn:cts:greekLit:tlg0732.tlg006	tlg0732.tlg006
alexander-philosophy.in-librum-de-sensu-commentarium	urn:cts:greekLit:tlg0732.tlg007	tlg0732.tlg007
alexander-rhetoric.de-figuris	urn:cts:greekLit:tlg0594.tlg002	tlg0594.tlg002
alexander.fragmenta	urn:cts:greekLit:tlg0401.tlg001	tlg0401.tlg001
alexarchus.fragmenta	urn:cts:greekLit:tlg2556.tlg002	tlg2556.tlg002
alexis-comedy.fragmenta	urn:cts:greekLit:tlg0402.tlg001	tlg0402.tlg001
alexis-samius.fragmenta	urn:cts:greekLit:tlg0707.tlg002	tlg0707.tlg002
alypius.isagoge-musica	urn:cts:greekLit:tlg2135.tlg001	tlg2135.tlg001
amelesagoras.fragmenta	urn:cts:greekLit:tlg2219.tlg003	tlg2219.tlg003
amipsias.fragmenta	urn:cts:greekLit:tlg0403.tlg001	tlg0403.tlg001
ammonius-grammar.de-adfinium-vocabulorum-differentia-peri-o-moi-wn-kai	urn:cts:greekLit:tlg0708.tlg001	tlg0708.tlg001
ammonius-philosophy.in-aristotelis-analytica-priora-sp	urn:cts:greekLit:tlg4016.tlg005	tlg4016.tlg005
ammonius-philosophy.in-aristotelis-analyticorum-priorum-librum-i-commentarium	urn:cts:greekLit:tlg4016.tlg004	tlg4016.tlg004
ammonius-philosophy.in-aristotelis-categorias-commentarius	urn:cts:greekLit:tlg4016.tlg002	tlg4016.tlg002
ammonius-philosophy.in-aristotelis-librum-de-interpretatione-commentarius	urn:cts:greekLit:tlg4016.tlg003	tlg4016.tlg003
ammonius-philosophy.in-porphyrii-isagogen-sive-quinque-voces	urn:cts:greekLit:tlg4016.tlg001	tlg4016.tlg001
amometus.fragmenta	urn:cts:greekLit:tlg2445.tlg003	tlg2445.tlg003
amphicrates-atheniensis.fragmenta	urn:cts:greekLit:tlg2699.tlg001	tlg2699.tlg001
amphilochius.epistula-synodalis	urn:cts:greekLit:tlg2112.tlg015	tlg2112.tlg015
amphis.fragmenta	urn:cts:greekLit:tlg0404.tlg001	tlg0404.tlg001
anacharsidis-epistulae.epistulae	urn:cts:greekLit:tlg0037.tlg001	tlg0037.tlg001
anacreon.fragmenta-2	urn:cts:greekLit:tlg0237.tlg002	tlg0237.tlg002
