slug	work_id	title	author	author_id	cts_urn	tlg	wikidata	source	edition	license	passages	tokens	tokens_lemmatized	correction	unattested_rate	scheme_class	scheme	scheme_depth	sha256
georgius-choeroboscus.peri-tropon-poietikon	ogc003880		Georgius Choeroboscus	oga000645				ocr	migne-ocr-qwen36	PD	178	3179	3094	auto-corrected	0.118790	logical-numeric	ref.sub	2	f39e6d66ccdd81ad7d63b9b9e2466ab2a8a7c8d398cb02c4555456f08f933dc6
georgius-choeroboscus.prolegomena-et-scholia-in-theodosii-alexandrini-canones-isagogicos-de	ogc001541	Prolegomena Et Scholia In Theodosii Alexandrini Canones Isagogicos De	Georgius Choeroboscus	oga000645	urn:cts:greekLit:tlg4093.tlg001	tlg4093.tlg001		ocr	qwen36-choeroboscus_hilgard_gg4-masked	PD	12422	143024	135768	auto-corrected	0.187428	edition-prefixed			b2dd4a9073a9b066f49d4f0060a771a2d486b7376923a273d07ab722bf7f2b2b
georgius-diaeretes.scholia-eis-to-peri-eureseos-hermogenous	ogc003852		georgius-diaeretes	oga001476				ocr	migne-ocr-qwen36	PD	234	8352	8227	auto-corrected	0.085802	logical-numeric	ref.sub	2	221ff8a33b660b95c904c629b29e9046809eeab36f81c9d65bf8e1c3e0c2ce2e
georgius-gemistus-pletho.syntome-peri-tinon-meron-tes-rhetorikes	ogc003853		georgius-gemistus-pletho	oga001477				ocr	migne-ocr-qwen36	PD	171	2891	2795	auto-corrected	0.128220	logical-numeric	ref.sub	2	c45e36b8a2abd13f8ddba6e57d059d693ac03be11ba3081c9515ba6455780da1
georgius-monachus-continuatus.chronicon-continuatio-redactio	ogc003689	Chronicon (Continuatio) (Redactio A)	Georgius Monachus Continuatus	oga001444	urn:cts:greekLit:tlg3051.tlg001	tlg3051.tlg001		cgpg	cgpg	CC-BY-4.0	81	29808	28530	manual	0.096040	mixed			f2ab71f4148998f11de6f5101b7a02977ea6062f2d05815c617660c505335c84
georgius-monachus.chronicon-breve-lib-1-6-redactio-recentior	ogc001542	Chronicon Breve (Lib. 1-6) (Redactio Recentior)	Georgius Monachus	oga000646	urn:cts:greekLit:tlg3043.tlg002	tlg3043.tlg002		ocr	migne-ocr-qwen36	PD	9370	240537	227381	auto-corrected	0.178121	edition-prefixed			4758ecb5f82322c0e3a7e5bdfad64d92731a342b3a891dc702dc74ea0accf480
georgius-pachymeres.progymnasmata	ogc003894		Georgius Pachymeres	oga000647				ocr	qwen36-walz_rhetores_v1	PD	337	11036	10604	auto-corrected	0.141833	logical-numeric	ref.sub	2	750a4b32ca36847d0b40a2e0708d9f6e9c7abd427ceee4ce80cd4c073d397f65
georgius-pachymeres.suggrafikai-i-stori-ai-libri-vi-de-michaele-palaeologo	ogc001543	Συγγραφικαὶ ἱστορίαι (Libri Vi De Michaele Palaeologo)	Georgius Pachymeres	oga000647	urn:cts:greekLit:tlg3142.tlg001	tlg3142.tlg001		byzantium_gr	byzantium-gr	PD	202	96280	94366	not-ocr		logical-numeric	ref.sub	2	72c524e66deff95ed327d5c1cbcb7919ed8a5f4501ce4ac09d294490a5f50079
georgius-sphrantzes.chronicon-sive-minus-sp	ogc001544	Chronicon Sive Minus Sp.	Georgius Sphrantzes	oga000648	urn:cts:greekLit:tlg3143.tlg001	tlg3143.tlg001		byzantium_gr	byzantium-gr	PD	373	24412	23693	not-ocr		logical-numeric	ref.sub	2	52d9970ef96c54b205d7f277e080e966f98ab4800c48760d39f272c0b6fdeef1
glaucus-rheginus.fragmenta	ogc001545	Fragmenta	Glaucus	oga000650	urn:cts:greekLit:tlg4391.tlg001	tlg4391.tlg001		dfhg	dfhg	CC-BY-SA-4.0	6	292	291	not-ocr		logical-numeric	ref.sub	2	7ae3867967475cafd2241173c3072b74397a24b31def102c4ca17442ec4101b8
